model_col,series_code,unit,freq,description,tags
google_mobility_united_states_arkansas_retail,google_mobility.united_states.arkansas.retail,index,daily,Google Mobility United States Arkansas Retail,"google,mobility"
google_mobility_united_states_arkansas_transit,google_mobility.united_states.arkansas.transit,index,daily,Google Mobility United States Arkansas Transit,"google,mobility"
google_mobility_united_states_arkansas_work,google_mobility.united_states.arkansas.work,index,daily,Google Mobility United States Arkansas Work,"google,mobility"
google_mobility_united_states_california_grocery,google_mobility.united_states.california.grocery,index,daily,Google Mobility United States California Grocery,"google,mobility"
google_mobility_united_states_california_parks,google_mobility.united_states.california.parks,index,daily,Google Mobility United States California Parks,"google,mobility"
google_mobility_united_states_california_residential,google_mobility.united_states.california.residential,index,daily,Google Mobility United States California Residential,"google,mobility"
google_mobility_united_states_california_retail,google_mobility.united_states.california.retail,index,daily,Google Mobility United States California Retail,"google,mobility"
google_mobility_united_states_california_transit,google_mobility.united_states.california.transit,index,daily,Google Mobility United States California Transit,"google,mobility"
google_mobility_united_states_california_work,google_mobility.united_states.california.work,index,daily,Google Mobility United States California Work,"google,mobility"
google_mobility_united_states_colorado_grocery,google_mobility.united_states.colorado.grocery,index,daily,Google Mobility United States Colorado Grocery,"google,mobility"
google_mobility_united_states_colorado_parks,google_mobility.united_states.colorado.parks,index,daily,Google Mobility United States Colorado Parks,"google,mobility"
google_mobility_united_states_colorado_residential,google_mobility.united_states.colorado.residential,index,daily,Google Mobility United States Colorado Residential,"google,mobility"
google_mobility_united_states_colorado_retail,google_mobility.united_states.colorado.retail,index,daily,Google Mobility United States Colorado Retail,"google,mobility"
google_mobility_united_states_colorado_transit,google_mobility.united_states.colorado.transit,index,daily,Google Mobility United States Colorado Transit,"google,mobility"
google_mobility_united_states_colorado_work,google_mobility.united_states.colorado.work,index,daily,Google Mobility United States Colorado Work,"google,mobility"
google_mobility_united_states_connecticut_grocery,google_mobility.united_states.connecticut.grocery,index,daily,Google Mobility United States Connecticut Grocery,"google,mobility"
google_mobility_united_states_connecticut_parks,google_mobility.united_states.connecticut.parks,index,daily,Google Mobility United States Connecticut Parks,"google,mobility"
google_mobility_united_states_connecticut_residential,google_mobility.united_states.connecticut.residential,index,daily,Google Mobility United States Connecticut Residential,"google,mobility"
google_mobility_united_states_connecticut_retail,google_mobility.united_states.connecticut.retail,index,daily,Google Mobility United States Connecticut Retail,"google,mobility"
google_mobility_united_states_connecticut_transit,google_mobility.united_states.connecticut.transit,index,daily,Google Mobility United States Connecticut Transit,"google,mobility"
google_mobility_united_states_connecticut_work,google_mobility.united_states.connecticut.work,index,daily,Google Mobility United States Connecticut Work,"google,mobility"
google_mobility_united_states_delaware_grocery,google_mobility.united_states.delaware.grocery,index,daily,Google Mobility United States Delaware Grocery,"google,mobility"
google_mobility_united_states_delaware_parks,google_mobility.united_states.delaware.parks,index,daily,Google Mobility United States Delaware Parks,"google,mobility"
google_mobility_united_states_delaware_residential,google_mobility.united_states.delaware.residential,index,daily,Google Mobility United States Delaware Residential,"google,mobility"
google_mobility_united_states_delaware_retail,google_mobility.united_states.delaware.retail,index,daily,Google Mobility United States Delaware Retail,"google,mobility"
google_mobility_united_states_delaware_transit,google_mobility.united_states.delaware.transit,index,daily,Google Mobility United States Delaware Transit,"google,mobility"
google_mobility_united_states_delaware_work,google_mobility.united_states.delaware.work,index,daily,Google Mobility United States Delaware Work,"google,mobility"
google_mobility_united_states_district_of_columbia_grocery,google_mobility.united_states.district_of_columbia.grocery,index,daily,Google Mobility United States District Of Columbia Grocery,"google,mobility"
google_mobility_united_states_district_of_columbia_parks,google_mobility.united_states.district_of_columbia.parks,index,daily,Google Mobility United States District Of Columbia Parks,"google,mobility"
google_mobility_united_states_district_of_columbia_residential,google_mobility.united_states.district_of_columbia.residential,index,daily,Google Mobility United States District Of Columbia Residential,"google,mobility"
google_mobility_united_states_district_of_columbia_retail,google_mobility.united_states.district_of_columbia.retail,index,daily,Google Mobility United States District Of Columbia Retail,"google,mobility"
google_mobility_united_states_district_of_columbia_transit,google_mobility.united_states.district_of_columbia.transit,index,daily,Google Mobility United States District Of Columbia Transit,"google,mobility"
google_mobility_united_states_district_of_columbia_work,google_mobility.united_states.district_of_columbia.work,index,daily,Google Mobility United States District Of Columbia Work,"google,mobility"
google_mobility_united_states_florida_grocery,google_mobility.united_states.florida.grocery,index,daily,Google Mobility United States Florida Grocery,"google,mobility"
google_mobility_united_states_florida_parks,google_mobility.united_states.florida.parks,index,daily,Google Mobility United States Florida Parks,"google,mobility"
